x,y,z,TgF
-0.4612,0.7589,-0.7071,1.135
-0.4029,0.7764,-0.6993,1.12
-0.3404,0.795,-0.6612,1.089
-0.2783,0.8084,-0.5828,1.035
-0.2261,0.8209,-0.4581,0.967
-0.2039,0.8238,-0.2901,0.897
-0.1958,0.8104,-0.1074,0.841
-0.197,0.7899,0.0637,0.817
-0.1953,0.7755,0.2469,0.837
-0.1953,0.763,0.4598,0.912
-0.1909,0.7445,0.6766,1.024
-0.1753,0.724,0.8895,1.16
-0.1626,0.7022,1.099,1.314
-0.1453,0.6837,1.2926,1.469
-0.1277,0.6705,1.4538,1.606
-0.1194,0.6624,1.5971,1.733
-0.1091,0.6519,1.7155,1.838
-0.1094,0.6451,1.8041,1.919
-0.1218,0.6314,1.853,1.961
-0.1387,0.6099,1.8598,1.962
-0.1597,0.5889,1.8322,1.931
-0.2005,0.5689,1.7675,1.868
-0.2647,0.5513,1.6821,1.79
-0.3506,0.5391,1.5758,1.702
-0.4478,0.5381,1.4574,1.617
-0.5591,0.546,1.3341,1.546
-0.6766,0.5623,1.2142,1.499
-0.7938,0.5889,1.0868,1.469
-0.8929,0.6212,0.9481,1.443
-0.9688,0.668,0.7921,1.419
-1.0296,0.7301,0.6529,1.421
-1.078,0.7928,0.5357,1.441
-1.1027,0.848,0.4334,1.457
-1.1063,0.8846,0.3299,1.454
-1.0931,0.9102,0.2249,1.44
-1.0619,0.9186,0.1245,1.41
-1.0172,0.9154,0.0132,1.368
-0.9618,0.9083,-0.0967,1.326
-0.8958,0.8956,-0.1958,1.282
-0.8233,0.8863,-0.2903,1.244
-0.7557,0.8734,-0.3741,1.214
-0.6954,0.858,-0.4427,1.19
-0.6356,0.8429,-0.4927,1.165
-0.5828,0.8275,-0.5289,1.142
-0.5359,0.8116,-0.5374,1.111
-0.4961,0.794,-0.525,1.073
-0.4622,0.7774,-0.4871,1.027
-0.4305,0.755,-0.4258,0.968
-0.4031,0.733,-0.3418,0.904
-0.3824,0.7132,-0.2364,0.843
-0.3767,0.6925,-0.1199,0.797
-0.386,0.6644,0.0107,0.768
-0.4131,0.6312,0.1445,0.768
-0.4461,0.5911,0.2823,0.793
-0.482,0.5552,0.4227,0.848
-0.5318,0.5289,0.5467,0.928
-0.5818,0.513,0.6539,1.015
-0.6414,0.5093,0.7611,1.118
-0.7122,0.524,0.8553,1.23
-0.797,0.5577,0.9256,1.343
-0.8812,0.6092,0.9752,1.449
-0.9571,0.6719,1.0108,1.546
-1.0306,0.7493,1.0196,1.632
-1.1017,0.8294,0.9989,1.703
-1.1656,0.9205,0.951,1.764
-1.2247,1.0104,0.8658,1.808
-1.2741,1.0924,0.7479,1.837
-1.3244,1.1498,0.6011,1.854
-1.3805,1.1822,0.4405,1.87
-1.444,1.1986,0.2823,1.898
-1.5036,1.2006,0.1426,1.929
-1.5507,1.1969,0.0215,1.959
-1.5812,1.1945,-0.0823,1.983
-1.5939,1.1886,-0.1536,1.994
-1.5844,1.1803,-0.1958,1.985
-1.5588,1.1698,-0.2139,1.961
-1.5338,1.1554,-0.2173,1.933
-1.5192,1.1454,-0.2056,1.914
-1.5072,1.1295,-0.1863,1.893
-1.4997,1.1073,-0.1497,1.87
-1.5019,1.0814,-0.0938,1.853
-1.5082,1.0484,-0.0198,1.837
-1.5111,1.0165,0.0701,1.823
-1.5065,0.9847,0.1673,1.808
-1.4984,0.9603,0.2666,1.8
-1.4892,0.9432,0.3621,1.8
-1.4731,0.9288,0.4566,1.8
-1.4599,0.9132,0.542,1.805
-1.4489,0.8988,0.6175,1.813
-1.4384,0.8839,0.6851,1.822
-1.4254,0.8653,0.7484,1.828
-1.4159,0.839,0.8067,1.833
-1.4074,0.8026,0.8516,1.83
-1.4005,0.752,0.8922,1.823
-1.3891,0.6939,0.9283,1.809
-1.3717,0.6202,0.9637,1.787
-1.3497,0.5401,0.9859,1.757
-1.3258,0.4593,1.0006,1.723
-1.2975,0.3767,1.0101,1.687
-1.2682,0.2976,1.0162,1.652
-1.2465,0.229,1.015,1.624
-1.234,0.1665,1.0099,1.603
-1.2308,0.117,1.0052,1.593
-1.2347,0.0833,0.9896,1.585
-1.246,0.0628,0.9762,1.584
-1.2572,0.0488,0.9522,1.578
-1.2716,0.0491,0.9205,1.571
-1.2919,0.0537,0.8822,1.565
-1.3129,0.0608,0.8346,1.557
-1.3319,0.0674,0.7774,1.544
-1.3502,0.0776,0.7164,1.53
-1.3659,0.0982,0.6512,1.516
-1.383,0.1314,0.5923,1.51
-1.4088,0.1773,0.5269,1.515
-1.4406,0.2259,0.4576,1.528
-1.4765,0.2686,0.3829,1.549
-1.5136,0.3037,0.3001,1.573
-1.5495,0.3255,0.2105,1.597
-1.5905,0.3308,0.1189,1.629
-1.6288,0.3284,0.0374,1.662
-1.6713,0.3257,-0.0286,1.703
-1.7072,0.3228,-0.0769,1.739
-1.7346,0.3194,-0.1121,1.767
-1.7639,0.3157,-0.1321,1.797
-1.7956,0.3023,-0.1306,1.826
-1.8278,0.2757,-0.0994,1.851
-1.8669,0.2337,-0.0461,1.882
-1.9042,0.1802,0.0239,1.913
-1.9343,0.1231,0.1109,1.941
-1.9577,0.062,0.209,1.97
-1.9826,0,0.3108,2.007
-2.0068,-0.061,0.399,2.047
-2.0329,-0.1104,0.4742,2.09
-2.0793,-0.1404,0.5496,2.155
-2.1343,-0.1631,0.6173,2.228
-2.1992,-0.1795,0.6685,2.306
-2.2637,-0.1956,0.7213,2.384
-2.344,-0.2088,0.7657,2.475
-2.4294,-0.2256,0.7943,2.566
-2.5105,-0.2525,0.8136,2.651
-2.583,-0.2942,0.8194,2.726
-2.6431,-0.3514,0.8087,2.786
-2.6734,-0.4143,0.783,2.816
-2.615,-0.4529,0.7559,2.76
-2.711,-0.5633,0.7064,2.858
-2.7115,-0.6507,0.648,2.863
-2.6787,-0.7359,0.6146,2.845
-2.6319,-0.8131,0.5745,2.814
-2.5689,-0.8929,0.5364,2.772
-2.4729,-0.9591,0.4834,2.696
-2.3518,-1.0101,0.4217,2.594
-2.2253,-1.0401,0.3604,2.483
-2.1008,-1.0629,0.3081,2.374
-1.9985,-1.0851,0.2669,2.29
-1.9213,-1.108,0.2251,2.229
-1.863,-1.1312,0.1902,2.188
-1.8117,-1.1512,0.1587,2.152
-1.7714,-1.1669,0.1333,2.125
-1.7414,-1.1779,0.1106,2.105
-1.7177,-1.1952,0.0867,2.094
-1.6989,-1.2167,0.0794,2.091
-1.6923,-1.235,0.0859,2.097
-1.6877,-1.2389,0.1126,2.097
-1.6774,-1.224,0.148,2.082
-1.6637,-1.1913,0.1875,2.055
-1.6491,-1.1439,0.2254,2.02
-1.6396,-1.0885,0.2605,1.985
-1.6291,-1.0294,0.295,1.949
-1.6117,-0.9657,0.3206,1.906
-1.5885,-0.9071,0.3394,1.86
-1.5595,-0.8538,0.3504,1.812
-1.5224,-0.8026,0.3526,1.757
-1.4818,-0.7586,0.354,1.702
-1.4347,-0.7183,0.3557,1.643
-1.3856,-0.6805,0.3609,1.585
-1.3346,-0.6436,0.3697,1.527
-1.2841,-0.6075,0.3797,1.47
-1.235,-0.5713,0.3946,1.417
-1.1864,-0.5318,0.4117,1.364
-1.1412,-0.4903,0.4268,1.313
-1.1002,-0.449,0.4415,1.268
-1.0602,-0.4136,0.4549,1.226
-1.0233,-0.386,0.4556,1.185
-0.9874,-0.3645,0.4612,1.149
-0.9447,-0.3421,0.472,1.11
-0.888,-0.3169,0.4834,1.06
-0.8258,-0.2859,0.5066,1.01
-0.7535,-0.25,0.542,0.961
-0.6759,-0.2097,0.5916,0.922
-0.5977,-0.166,0.6544,0.902
-0.5201,-0.1226,0.7269,0.902
-0.448,-0.0798,0.8189,0.937
-0.3841,-0.0391,0.92,0.998
-0.3218,-0.0034,1.0257,1.075
-0.2666,0.0271,1.1363,1.168
-0.2202,0.0544,1.247,1.267
-0.1834,0.0784,1.3493,1.364
-0.1597,0.0969,1.4438,1.456
-0.1458,0.117,1.5292,1.541
-0.1472,0.1348,1.6027,1.615
-0.1609,0.1546,1.6672,1.682
-0.1863,0.1839,1.706,1.726
-0.2229,0.2263,1.7516,1.78
-0.2647,0.282,1.7639,1.806
-0.3069,0.3496,1.7548,1.815
-0.3484,0.4324,1.7145,1.802
-0.3848,0.525,1.6437,1.768
-0.4197,0.6209,1.5478,1.72
-0.4458,0.7137,1.4406,1.668
-0.4817,0.796,1.319,1.614
-0.5008,0.8692,1.1859,1.553
-0.5306,0.9405,1.0629,1.515
-0.5589,1.0123,0.9454,1.494
-0.5828,1.0795,0.8358,1.484
-0.6124,1.1356,0.7393,1.487
-0.6444,1.1874,0.6656,1.506
-0.671,1.2347,0.6058,1.53
-0.6793,1.2709,0.5662,1.548
-0.6763,1.296,0.5337,1.556
-0.6646,1.3143,0.5064,1.557
-0.648,1.3202,0.4866,1.549
-0.6282,1.3148,0.471,1.531
-0.6087,1.308,0.4661,1.516
-0.5945,1.3107,0.4656,1.513
-0.5762,1.3136,0.4695,1.509
-0.5545,1.2899,0.482,1.484
-0.5486,1.2518,0.5071,1.458
-0.5655,1.2125,0.532,1.44
-0.6053,1.1774,0.5508,1.434
-0.6585,1.1512,0.5648,1.442
-0.7225,1.1327,0.5799,1.463
-0.7869,1.1185,0.5911,1.49
-0.8499,1.107,0.6004,1.519
-0.9032,1.1022,0.6089,1.55
-0.9535,1.0926,0.6099,1.573
-1.0025,1.0875,0.6011,1.597
-1.0487,1.0824,0.5828,1.616
-1.0858,1.0802,0.5562,1.629
-1.1141,1.077,0.5245,1.636
-1.1363,1.0692,0.4913,1.636
-1.1561,1.0565,0.4603,1.632
-1.1783,1.0419,0.4261,1.63
-1.1993,1.025,0.4048,1.629
-1.2147,1.0135,0.3792,1.627
-1.223,1.0016,0.3565,1.62
-1.2306,0.9867,0.3357,1.613
-1.2328,0.9725,0.3118,1.601
-1.2316,0.9513,0.2715,1.58
-1.2191,0.9239,0.2376,1.548
-1.2096,0.8973,0.2051,1.52
-1.1981,0.8683,0.1743,1.49
-1.1864,0.8302,0.1338,1.454
-1.1844,0.7918,0.0938,1.428
-1.1903,0.7557,0.0493,1.411
-1.1879,0.7127,0.0095,1.385
-1.1835,0.6695,-0.0378,1.36
-1.1808,0.627,-0.0847,1.34
-1.173,0.5811,-0.1358,1.316
-1.1554,0.5347,-0.1914,1.287
-1.1285,0.4881,-0.2576,1.256
-1.0917,0.4417,-0.325,1.222
-1.0565,0.3946,-0.3955,1.195
-1.0187,0.3499,-0.4705,1.175
-0.9764,0.303,-0.5469,1.159
-0.9266,0.2559,-0.627,1.148
-0.8753,0.2117,-0.6998,1.14
-0.8267,0.1712,-0.7691,1.142
-0.7801,0.1419,-0.8358,1.152
-0.7428,0.1194,-0.899,1.172
-0.7083,0.1069,-0.9574,1.196
-0.6817,0.1011,-1.0106,1.223
-0.659,0.0982,-1.0607,1.253
-0.6468,0.0962,-1.1022,1.282
-0.6341,0.0962,-1.1298,1.299
-0.6324,0.0999,-1.1456,1.312
-0.6295,0.1045,-1.1532,1.318
-0.6238,0.1128,-1.151,1.314
-0.619,0.1233,-1.1481,1.31
-0.6107,0.1338,-1.1295,1.291
-0.5989,0.1497,-1.1097,1.27
-0.5845,0.1702,-1.0948,1.253
-0.5796,0.1917,-1.0812,1.242
-0.5779,0.2134,-1.0716,1.236
-0.5706,0.2259,-1.0587,1.224
-0.5689,0.2305,-1.0477,1.214
-0.5704,0.22,-1.034,1.201
-0.585,0.1992,-1.0126,1.186
-0.6295,0.1626,-0.9852,1.18
-0.7039,0.1165,-0.9505,1.189
-0.783,0.0637,-0.9171,1.208
-0.8656,0.01,-0.8831,1.237
-0.9476,-0.0493,-0.8455,1.271
-1.0358,-0.1165,-0.8021,1.315
-1.1327,-0.1904,-0.7528,1.373
-1.2484,-0.2698,-0.6925,1.453
-1.3683,-0.3518,-0.6346,1.549
-1.4938,-0.4327,-0.5713,1.657
-1.6235,-0.5189,-0.5123,1.78
-1.7402,-0.5945,-0.472,1.899
-1.8391,-0.6619,-0.4488,2.005
-1.9318,-0.7222,-0.4439,2.11
-2.0205,-0.7774,-0.4615,2.214
-2.0984,-0.826,-0.5123,2.313
-2.1606,-0.8636,-0.5858,2.399
-2.208,-0.8873,-0.6793,2.475
-2.228,-0.899,-0.7891,2.529
-2.2209,-0.89,-0.9041,2.558
-2.198,-0.8673,-1.0253,2.576
-2.1706,-0.8282,-1.1515,2.593
-2.1557,-0.7906,-1.2665,2.622
-2.1474,-0.7557,-1.3563,2.65
-2.1548,-0.7125,-1.4091,2.671
-2.166,-0.6734,-1.4757,2.706
-2.1897,-0.6529,-1.4887,2.727
-2.2095,-0.6414,-1.4909,2.741
-2.219,-0.65,-1.4523,2.73
-2.2202,-0.6737,-1.3993,2.709
-2.2163,-0.701,-1.3305,2.678
-2.1963,-0.731,-1.2487,2.63
-2.1557,-0.7647,-1.1576,2.564
-2.0962,-0.8016,-1.0546,2.48
-2.0285,-0.8377,-0.9449,2.389
-1.956,-0.8768,-0.8309,2.299
-1.8811,-0.9161,-0.7103,2.21
-1.8054,-0.9559,-0.5909,2.127
-1.7226,-1.0045,-0.4791,2.051
-1.6254,-1.0653,-0.3836,1.981
-1.5094,-1.1329,-0.3094,1.912
-1.3761,-1.2164,-0.2559,1.854
-1.2201,-1.32,-0.2168,1.811
-1.0526,-1.4323,-0.1934,1.788
-0.8673,-1.5253,-0.1956,1.765
-0.6683,-1.599,-0.2075,1.745
-0.4466,-1.6557,-0.2224,1.729
-0.2132,-1.697,-0.2407,1.727
0.0168,-1.7226,-0.2762,1.745
0.2349,-1.7336,-0.325,1.779
0.427,-1.7204,-0.3587,1.809
0.6026,-1.6911,-0.3938,1.838
0.7713,-1.662,-0.4351,1.883
0.9227,-1.6279,-0.4866,1.933
1.0484,-1.6088,-0.5423,1.995
1.1464,-1.5944,-0.6087,2.056
1.2064,-1.5822,-0.6802,2.103
1.2467,-1.5697,-0.7559,2.142
1.2623,-1.5563,-0.8258,2.167
1.2557,-1.5382,-0.8924,2.177
1.2304,-1.5165,-0.9544,2.174
1.1886,-1.4906,-1.0052,2.155
1.1366,-1.4621,-1.0394,2.124
1.0741,-1.4313,-1.0604,2.08
1.0013,-1.3981,-1.0577,2.019
0.9212,-1.3676,-1.036,1.947
0.8368,-1.3373,-1.004,1.87
0.7449,-1.3112,-0.9779,1.797
0.6417,-1.2767,-0.9557,1.719
0.5369,-1.2367,-0.9286,1.637
0.438,-1.2035,-0.8968,1.564
0.3435,-1.1781,-0.8651,1.501
0.2495,-1.1578,-0.8333,1.448
0.1611,-1.1378,-0.8006,1.401
0.0762,-1.119,-0.7662,1.358
-0.0071,-1.1083,-0.7352,1.33
-0.0869,-1.1,-0.7052,1.309
-0.1648,-1.0968,-0.6766,1.299
-0.2366,-1.1007,-0.6417,1.296
-0.3028,-1.1056,-0.607,1.297
-0.3538,-1.107,-0.5648,1.292
-0.3973,-1.1085,-0.5189,1.287
-0.4319,-1.1097,-0.4725,1.281
-0.4632,-1.109,-0.4285,1.276
-0.4878,-1.1068,-0.3811,1.268
-0.512,-1.1012,-0.3323,1.259
-0.5398,-1.098,-0.2942,1.258
-0.5648,-1.0941,-0.2625,1.259
-0.5843,-1.0902,-0.2493,1.262
-0.5958,-1.0829,-0.2439,1.26
-0.5982,-1.0758,-0.2488,1.256
-0.585,-1.066,-0.2627,1.244
-0.5623,-1.0563,-0.2832,1.23
-0.5423,-1.046,-0.305,1.217
-0.5191,-1.0294,-0.3323,1.2
-0.5003,-1.0152,-0.3565,1.187
-0.4817,-1.0028,-0.3802,1.176
-0.4605,-0.9925,-0.4085,1.168
-0.4478,-0.9806,-0.4412,1.165
-0.4305,-0.9667,-0.4754,1.16
-0.4139,-0.9525,-0.5123,1.158
-0.3951,-0.9405,-0.5469,1.157
-0.3794,-0.9295,-0.5804,1.16
-0.3636,-0.9203,-0.6111,1.163
-0.3499,-0.9127,-0.6358,1.166
-0.3323,-0.9044,-0.6556,1.165
-0.3216,-0.8971,-0.6776,1.169
-0.313,-0.888,-0.6942,1.17
-0.3091,-0.8756,-0.7076,1.167
-0.3069,-0.8658,-0.7178,1.166
-0.302,-0.8536,-0.7227,1.159
-0.3015,-0.8412,-0.7203,1.148
-0.2998,-0.8311,-0.7174,1.138
-0.2967,-0.8221,-0.7052,1.123
-0.294,-0.814,-0.6937,1.109
-0.2913,-0.8035,-0.681,1.093
-0.2864,-0.7957,-0.6639,1.075
-0.2845,-0.7879,-0.6434,1.056
-0.2832,-0.7821,-0.6185,1.037
-0.2864,-0.7745,-0.5897,1.015
-0.292,-0.7728,-0.555,0.995
-0.3011,-0.7684,-0.524,0.978
-0.313,-0.7667,-0.4891,0.962
-0.3269,-0.7645,-0.4517,0.946
-0.3426,-0.7667,-0.4156,0.937
-0.3616,-0.7669,-0.3802,0.929
-0.3807,-0.764,-0.3448,0.921
-0.4073,-0.7579,-0.3081,0.914
-0.4368,-0.7445,-0.273,0.905
-0.4639,-0.7327,-0.2425,0.901
-0.4993,-0.7188,-0.2041,0.899
-0.5379,-0.7061,-0.1731,0.904
-0.5792,-0.6922,-0.1443,0.914
-0.6236,-0.6793,-0.1101,0.929
-0.6688,-0.6649,-0.0779,0.946
-0.7181,-0.65,-0.0532,0.97
-0.7642,-0.6339,-0.0303,0.993
-0.8079,-0.618,-0.0132,1.017
-0.847,-0.6041,-0.0022,1.04
-0.8827,-0.5884,0.0044,1.061
-0.9105,-0.5726,0.002,1.076
-0.9315,-0.5584,-0.0078,1.086
-0.9525,-0.5423,-0.0288,1.096
-0.9637,-0.5335,-0.0579,1.103
-0.983,-0.5069,-0.0911,1.11
-0.9977,-0.483,-0.1375,1.117
-1.0033,-0.4615,-0.1853,1.12
-1.0055,-0.4424,-0.2368,1.124
-1.0089,-0.4207,-0.2871,1.13
-1.0038,-0.4048,-0.3382,1.134
-0.9979,-0.386,-0.3802,1.135
-0.9933,-0.3702,-0.42,1.14
-0.9864,-0.3609,-0.4644,1.148
-0.9818,-0.3526,-0.5047,1.159
-0.9813,-0.3472,-0.5464,1.176
-0.9801,-0.3428,-0.5828,1.191
-0.9815,-0.3384,-0.6114,1.205
-0.9847,-0.3391,-0.6339,1.219
-0.9857,-0.3377,-0.6556,1.231
-0.9869,-0.336,-0.6678,1.238
-0.9872,-0.3343,-0.6771,1.243
-0.9911,-0.3311,-0.6842,1.249
-0.993,-0.3269,-0.6837,1.249
-0.9996,-0.3213,-0.6724,1.247
-1.014,-0.314,-0.6575,1.249
-1.0299,-0.3023,-0.6339,1.247
-1.0502,-0.2906,-0.6046,1.246
-1.0731,-0.2749,-0.5779,1.249
-1.0956,-0.26,-0.546,1.251
-1.1146,-0.2483,-0.5196,1.255
-1.1356,-0.2368,-0.4927,1.26
-1.1551,-0.231,-0.4732,1.269
-1.1683,-0.2237,-0.4532,1.273
-1.1764,-0.2163,-0.4341,1.272
-1.1871,-0.208,-0.4075,1.272
-1.1964,-0.1983,-0.3833,1.272
-1.2059,-0.1826,-0.355,1.27
-1.2179,-0.166,-0.3269,1.272
-1.2384,-0.1494,-0.3001,1.283
-1.2614,-0.1314,-0.2737,1.297
-1.2907,-0.1189,-0.2522,1.32
-1.3234,-0.105,-0.2373,1.349
-1.3544,-0.0942,-0.221,1.376
-1.3817,-0.0825,-0.2053,1.399
-1.4079,-0.0772,-0.1926,1.423
-1.4262,-0.0698,-0.1824,1.439
-1.4406,-0.062,-0.177,1.453
-1.4459,-0.0552,-0.1743,1.457
-1.4447,-0.0501,-0.1712,1.456
-1.4394,-0.0427,-0.1699,1.45
-1.4276,-0.0335,-0.1714,1.438
-1.4171,-0.0305,-0.1675,1.427
-1.4042,-0.0254,-0.168,1.414
-1.3895,-0.0247,-0.1709,1.4
-1.379,-0.0264,-0.1719,1.39
-1.3659,-0.0239,-0.1743,1.377
-1.3522,-0.0242,-0.1768,1.364
-1.3366,-0.0271,-0.1804,1.349
-1.319,-0.0305,-0.1831,1.332
-1.2987,-0.033,-0.1865,1.312
-1.2797,-0.0388,-0.1868,1.294
-1.2653,-0.0391,-0.1846,1.279
-1.2472,-0.0457,-0.1839,1.262
-1.2286,-0.0515,-0.1812,1.243
-1.2111,-0.0598,-0.1785,1.226
-1.1971,-0.0689,-0.1765,1.212
-1.1761,-0.0772,-0.1799,1.192
-1.1542,-0.0911,-0.1853,1.172
-1.1332,-0.103,-0.1919,1.154
-1.1078,-0.116,-0.2031,1.132
-1.0848,-0.1299,-0.2132,1.113
-1.0602,-0.1441,-0.2271,1.094
-1.0365,-0.1607,-0.2427,1.077
-1.0111,-0.1765,-0.2578,1.058
-0.9857,-0.1892,-0.274,1.04
-0.9603,-0.2056,-0.2864,1.023
-0.9347,-0.2171,-0.3011,1.006
-0.91,-0.2293,-0.3125,0.989
-0.8846,-0.2422,-0.3274,0.974
-0.8592,-0.2547,-0.3374,0.958
-0.8363,-0.2659,-0.3453,0.943
-0.8138,-0.2781,-0.3526,0.929
-0.7948,-0.291,-0.356,0.918
-0.7735,-0.3028,-0.3636,0.907
-0.7569,-0.316,-0.3697,0.9
-0.7452,-0.324,-0.3706,0.893
-0.7425,-0.3313,-0.3692,0.893
-0.744,-0.3377,-0.3616,0.893
-0.7513,-0.3401,-0.3536,0.897
-0.7647,-0.3445,-0.344,0.907
-0.7823,-0.3467,-0.3338,0.918
-0.7989,-0.3523,-0.3252,0.932
-0.8165,-0.3548,-0.3108,0.943
-0.8324,-0.3611,-0.2993,0.955
-0.848,-0.3648,-0.2918,0.968
-0.8587,-0.3675,-0.2881,0.977
-0.868,-0.3702,-0.2845,0.986
-0.8797,-0.3697,-0.2876,0.997
-0.8949,-0.3692,-0.2903,1.011
-0.9112,-0.3641,-0.2913,1.024
-0.9254,-0.3592,-0.2925,1.035
-0.9381,-0.3531,-0.2945,1.045
-0.953,-0.3453,-0.2998,1.057
-0.9701,-0.3369,-0.304,1.071
-0.9877,-0.3284,-0.3169,1.088
-1.0038,-0.3179,-0.3286,1.103
-1.0199,-0.3084,-0.3428,1.119
-1.0343,-0.2957,-0.3609,1.135
-1.047,-0.2815,-0.377,1.148
-1.0511,-0.2666,-0.3965,1.155
-1.0592,-0.2527,-0.4158,1.166
-1.0563,-0.2381,-0.4334,1.166
-1.0563,-0.2241,-0.4529,1.171
-1.0521,-0.2122,-0.472,1.172
-1.0433,-0.2014,-0.4918,1.171
-1.0355,-0.1922,-0.5069,1.169
-1.026,-0.1836,-0.523,1.166
-1.017,-0.1792,-0.5377,1.164
-1.0108,-0.178,-0.5552,1.167
-1.0033,-0.1775,-0.5694,1.167
-0.9981,-0.1773,-0.584,1.17
-0.9955,-0.1797,-0.5963,1.174
-0.9901,-0.1851,-0.6058,1.175
-0.9864,-0.1931,-0.6087,1.175
-0.9811,-0.199,-0.6099,1.172
-0.975,-0.2063,-0.6055,1.166
-0.9696,-0.2134,-0.5982,1.159
-0.9649,-0.2171,-0.5848,1.149
-0.9657,-0.2224,-0.5709,1.144
-0.9684,-0.2263,-0.554,1.138
-0.9715,-0.2302,-0.5345,1.133
-0.9772,-0.2317,-0.5096,1.126
-0.9793,-0.229,-0.49,1.119
-0.9793,-0.2261,-0.4639,1.107
-0.9813,-0.2207,-0.4405,1.098
-0.9803,-0.2141,-0.4139,1.085
-0.9825,-0.2009,-0.3897,1.076
-0.9894,-0.1902,-0.3594,1.07
-0.9957,-0.1809,-0.3352,1.066
-1.0074,-0.1704,-0.3128,1.069
-1.0218,-0.1616,-0.2915,1.075
-1.0338,-0.1541,-0.2693,1.079
-1.0477,-0.1492,-0.2527,1.088
-1.0621,-0.1428,-0.2368,1.098
-1.0743,-0.1355,-0.2249,1.106
-1.0853,-0.1233,-0.2122,1.113
-1.0973,-0.1106,-0.2007,1.121
-1.111,-0.095,-0.197,1.132
-1.12,-0.082,-0.1909,1.139
-1.1322,-0.0684,-0.19,1.15
-1.1437,-0.0574,-0.1973,1.162
-1.1522,-0.0474,-0.2112,1.172
-1.1534,-0.0405,-0.2222,1.175
-1.1525,-0.032,-0.2283,1.175
-1.1529,-0.022,-0.2312,1.176
-1.1512,-0.0149,-0.2295,1.174
-1.1478,-0.0081,-0.2229,1.169
-1.1444,0.0029,-0.2127,1.164
-1.1407,0.0083,-0.1992,1.158
-1.1378,0.0151,-0.179,1.152
-1.1351,0.0215,-0.1509,1.145
-1.1332,0.0291,-0.1211,1.14
-1.1329,0.0347,-0.0906,1.137
-1.129,0.0425,-0.0598,1.131
-1.1268,0.0505,-0.0264,1.128
-1.1202,0.0588,0.0083,1.122
-1.1107,0.0674,0.0457,1.114
-1.0963,0.0764,0.0837,1.102
-1.0817,0.0889,0.1235,1.092
-1.0653,0.0989,0.1624,1.082
-1.0516,0.1104,0.1997,1.076
-1.0365,0.125,0.2359,1.07
-1.0267,0.138,0.2747,1.072
-1.0128,0.1533,0.3098,1.07
-0.9984,0.1687,0.3435,1.069
-0.9862,0.1829,0.3787,1.072
-0.9737,0.1992,0.4085,1.075
-0.9674,0.2097,0.4368,1.082
-0.963,0.2234,0.459,1.09
-0.9608,0.2337,0.4786,1.099
-0.9618,0.2434,0.4942,1.108
-0.9608,0.2486,0.5081,1.115
-0.9581,0.249,0.5179,1.117
-0.9571,0.2483,0.5279,1.121
-0.9569,0.242,0.5374,1.124
-0.9596,0.2337,0.5486,1.13
-0.9596,0.2281,0.5552,1.132
-0.9649,0.221,0.565,1.14
-0.9708,0.221,0.5709,1.148
-0.974,0.2227,0.5826,1.157
-0.9747,0.2222,0.5965,1.164
-0.9762,0.2246,0.6114,1.174
-0.9791,0.2298,0.6238,1.183
-0.9806,0.2346,0.6387,1.194
-0.9835,0.2442,0.6527,1.205
-0.9852,0.252,0.6605,1.213
-0.9913,0.2639,0.6727,1.227
-0.9935,0.2783,0.6807,1.236
-0.9974,0.2937,0.6829,1.244
-0.9999,0.3081,0.6888,1.253
-0.9996,0.3218,0.6893,1.256
-1.0023,0.3409,0.6866,1.262
-1.0035,0.355,0.6805,1.263
-1.0079,0.3736,0.6741,1.269
-1.0089,0.389,0.668,1.271
-1.0108,0.4085,0.6617,1.275
-1.0143,0.428,0.6483,1.278
-1.0155,0.4493,0.6368,1.28
-1.0138,0.4722,0.6214,1.279
-1.0126,0.4925,0.6063,1.279
-1.0091,0.512,0.584,1.273
-1.003,0.5311,0.5613,1.266
-0.9996,0.5462,0.5355,1.259
-0.9874,0.5589,0.5091,1.244
-0.9759,0.574,0.4866,1.232
-0.963,0.586,0.469,1.221
-0.9505,0.5975,0.4505,1.21
-0.9381,0.6089,0.4366,1.201
-0.9278,0.6202,0.4253,1.194
-0.9203,0.6282,0.4175,1.19
-0.9164,0.6238,0.4136,1.183
-0.9088,0.6194,0.4143,1.175
-0.9007,0.6175,0.4178,1.169
-0.8902,0.6216,0.4297,1.168
-0.8709,0.6339,0.4405,1.164
-0.8516,0.6524,0.4554,1.165
-0.8402,0.752,0.4678,1.221
-0.7923,0.7813,0.4727,1.209
-0.7633,0.7889,0.5069,1.209
-0.7462,0.7909,0.5298,1.21
-0.7408,0.7835,0.5516,1.211
-0.7376,0.7703,0.5723,1.21
-0.7347,0.7594,0.5923,1.211
-0.7337,0.7479,0.607,1.211
-0.7281,0.743,0.6155,1.209
-0.7181,0.7413,0.6216,1.205
-0.7042,0.7428,0.6256,1.2
-0.6861,0.7459,0.628,1.192
-0.6678,0.7508,0.6353,1.189
-0.6434,0.7576,0.6375,1.181
-0.6168,0.7613,0.6417,1.171
-0.5875,0.7667,0.6414,1.159
-0.563,0.7767,0.6358,1.151
-0.5357,0.7838,0.6329,1.141
-0.5145,0.7952,0.6212,1.133
-0.4942,0.805,0.6048,1.122
-0.4788,0.8177,0.586,1.114
-0.4644,0.8299,0.5667,1.107
